operator_funder,funded_wallet,note
2ojv9BAiHUrvsm9gxDe7fJSzbNZSJcxZvf8dqmWGHG8S,DwcSPX6aPLfjPZsHHfz9cQCrB4DaavYuq337cgLqsjcy,"same-SOL-funder sybil (2026-04~06 wash farming, ≥50 opens & ≥50 sellbacks)"
2ojv9BAiHUrvsm9gxDe7fJSzbNZSJcxZvf8dqmWGHG8S,6DqfuFvR5Jo4ggnwTU7C2ua3KtY2dCMrGmDG7DWvjHPY,"same-SOL-funder sybil (2026-04~06 wash farming, ≥50 opens & ≥50 sellbacks)"
2ojv9BAiHUrvsm9gxDe7fJSzbNZSJcxZvf8dqmWGHG8S,5Wc8auMiDyGYGfdGgGqwVmQooYBd6zxMLYpejHniyBdG,"same-SOL-funder sybil (2026-04~06 wash farming, ≥50 opens & ≥50 sellbacks)"
2ojv9BAiHUrvsm9gxDe7fJSzbNZSJcxZvf8dqmWGHG8S,AhwYLxaAULtpdV4MsELq8bV75RQcq7b5cUts293FHorL,"same-SOL-funder sybil (2026-04~06 wash farming, ≥50 opens & ≥50 sellbacks)"
2ojv9BAiHUrvsm9gxDe7fJSzbNZSJcxZvf8dqmWGHG8S,8BWnDHmb9JpFiWxxUkrRx1sBiViWec7ZxgWBxzDyoJXa,"same-SOL-funder sybil (2026-04~06 wash farming, ≥50 opens & ≥50 sellbacks)"
2ojv9BAiHUrvsm9gxDe7fJSzbNZSJcxZvf8dqmWGHG8S,bkwTDZ763VZwbV71EZXxBbXE31LPmv2UeQTmXMDYBMK,"same-SOL-funder sybil (2026-04~06 wash farming, ≥50 opens & ≥50 sellbacks)"
2ojv9BAiHUrvsm9gxDe7fJSzbNZSJcxZvf8dqmWGHG8S,Cf8HtfYXM5eRizUEDrmcgRx2TBjQCwoyAeof25wM3wbr,"same-SOL-funder sybil (2026-04~06 wash farming, ≥50 opens & ≥50 sellbacks)"
2ojv9BAiHUrvsm9gxDe7fJSzbNZSJcxZvf8dqmWGHG8S,H9dZ9wQtSo81BhEkCpxBoShCBn2NHU4GA2Mvp8s4M5FM,"same-SOL-funder sybil (2026-04~06 wash farming, ≥50 opens & ≥50 sellbacks)"
2ojv9BAiHUrvsm9gxDe7fJSzbNZSJcxZvf8dqmWGHG8S,3t3XCwV3qqUeAFgcNApQbEPHyGYfipasvbL734q8qg9V,"same-SOL-funder sybil (2026-04~06 wash farming, ≥50 opens & ≥50 sellbacks)"
2ojv9BAiHUrvsm9gxDe7fJSzbNZSJcxZvf8dqmWGHG8S,9dDMnS3FirhtsqEcDmoA2gguR6eyShYiB2pVeCDSrybz,"same-SOL-funder sybil (2026-04~06 wash farming, ≥50 opens & ≥50 sellbacks)"
2ojv9BAiHUrvsm9gxDe7fJSzbNZSJcxZvf8dqmWGHG8S,6wCArP7GvQPF1dDPakpAPfr8ubifpmEZqkCB8m1YV1ib,"same-SOL-funder sybil (2026-04~06 wash farming, ≥50 opens & ≥50 sellbacks)"
